,Data_Source,Date,compound,neg,neu,pos,tweet
1701,@CNN,2017-12-11,0.4019,0.0,0.863,0.137,99
1702,@CNN,2017-12-11,0.0,0.0,1.0,0.0,98
1703,@CNN,2017-12-11,0.0,0.0,1.0,0.0,97
1704,@CNN,2017-12-11,0.0772,0.0,0.939,0.061,96
1705,@CNN,2017-12-11,0.0,0.0,1.0,0.0,95
1706,@CNN,2017-12-11,0.0,0.0,1.0,0.0,94
1707,@CNN,2017-12-11,0.3612,0.0,0.894,0.106,93
1708,@CNN,2017-12-11,0.0,0.0,1.0,0.0,92
1709,@CNN,2017-12-11,-0.296,0.115,0.885,0.0,91
1710,@CNN,2017-12-11,-0.2732,0.108,0.837,0.054,90
1711,@CNN,2017-12-11,0.0,0.0,1.0,0.0,89
1712,@CNN,2017-12-11,-0.5719,0.207,0.793,0.0,88
1713,@CNN,2017-12-11,0.5574,0.0,0.796,0.204,87
1714,@CNN,2017-12-11,-0.1027,0.069,0.931,0.0,86
1715,@CNN,2017-12-11,0.0,0.0,1.0,0.0,85
1716,@CNN,2017-12-11,0.0,0.0,1.0,0.0,84
1717,@CNN,2017-12-11,-0.296,0.099,0.901,0.0,83
1718,@CNN,2017-12-11,-0.34,0.13,0.87,0.0,82
1719,@CNN,2017-12-11,-0.6486,0.249,0.751,0.0,81
1720,@CNN,2017-12-11,0.0,0.0,1.0,0.0,80
1721,@CNN,2017-12-11,0.0,0.0,1.0,0.0,79
1722,@CNN,2017-12-11,0.0,0.0,1.0,0.0,78
1723,@CNN,2017-12-11,0.3818,0.0,0.865,0.135,77
1724,@CNN,2017-12-11,0.0,0.0,1.0,0.0,76
1725,@CNN,2017-12-11,0.5983,0.0,0.844,0.156,75
1726,@CNN,2017-12-11,0.5106,0.0,0.858,0.142,74
1727,@CNN,2017-12-11,0.0,0.0,1.0,0.0,73
1728,@CNN,2017-12-11,-0.2263,0.161,0.738,0.101,72
1729,@CNN,2017-12-11,-0.1779,0.124,0.777,0.099,71
